Insects,Mountains,Elevation,Family,Species,Year,Month,Individuals
Moths,HL,1109,Erebidae,Eilema cribrata 2014,,8,1
Moths,HL,1109,Geometridae,Nothomiza aureolaria 2014,,8,1
Moths,HL,1109,Notodontidae,Quadricalcarifera subgeneris 2013,,8,1
Moths,HL,1109,Notodontidae,Quadricalcarifera subgeneris2014,,6,1
Moths,HL,1109,Geometridae,Parabapta clarissa 2013,,6,1
Moths,HL,1109,Noctuidae,Acronicta major 2013,,8,1
Moths,HL,1109,Erebidae,Paracolax fascialis,2014,6,2
Moths,HL,1109,Erebidae,Paracolax fascialis,2014,7,1
Moths,HL,1109,Notodontidae,Spatalia doerriesi,2013,8,1
Moths,HL,1109,Saturniidae,Caligula jonasii,2013,10,6
Moths,HL,1109,Noctuidae,Hermonassa cecilia,2013,9,1
Moths,HL,1109,Noctuidae,Hermonassa cecilia,2014,8,1
Moths,HL,1109,Drepanidae,Parapsestis argenteopicta,2014,7,1
Moths,HL,1109,Erebidae,Miltochrista miniata,2013,9,1
Moths,HL,1109,Geometridae,Ectropis excellens,2013,8,5
Moths,HL,1109,Geometridae,Ectropis excellens,2014,5,2
Moths,HL,1109,Geometridae,Ectropis excellens,2014,6,1
Moths,HL,1109,Geometridae,Ectropis excellens,2014,8,3
Moths,HL,1109,Notodontidae,Epodonta lineata,2013,9,1
Moths,HL,1109,Geometridae,Cabera purus,2014,6,2
Moths,HL,1109,Geometridae,Racotis petrosa,2014,6,1
Moths,HL,1109,Erebidae,Calyptra gruesa,2014,8,1
Moths,HL,1109,Geometridae,Descoreba simplex,2013,5,1
Moths,HL,1109,Geometridae,Descoreba simplex,2014,5,3
Moths,HL,1109,Noctuidae,Abrostola major,2013,8,1
Moths,HL,1109,Geometridae,Alcis angulifera,2013,6,1
Moths,HL,1109,Geometridae,Alcis angulifera,2014,10,6
Moths,HL,1109,Geometridae,Synegia hadassa,2013,7,1
Moths,HL,1109,Sphingidae,Acosmeryx naga,2014,5,1
Moths,HL,1109,Erebidae,Spilosoma album,2014,6,2
Moths,HL,1109,Geometridae,Lomographa temerata,2014,5,1
Moths,HL,1109,Geometridae,Lomographa temerata,2014,7,1
Moths,HL,1109,Epiplemidae,Epiplema moza,2013,9,1
Moths,HL,1109,Geometridae,Evecliptopera decurrens,2013,7,1
Moths,HL,1109,Geometridae,Pseuderannis lomozemia,2013,5,7
Moths,HL,1109,Geometridae,Pseuderannis lomozemia,2014,5,10
Moths,HL,1109,Noctuidae,Athetis albisignata,2014,7,1
Moths,HL,1109,Noctuidae,Amphipyra schrenckii,2014,8,1
Moths,HL,1109,Geometridae,Ourapteryx maculicaudaria,2014,8,1
Moths,HL,1109,Geometridae,Geometra dieckmanni,2013,9,1
Moths,HL,752,Epiplemidae,Dysaethria cretacea,2014,6,1
Moths,HL,752,Epiplemidae,Oroplema oyamana,2013,10,4
Moths,HL,752,Geometridae,Paradarisa chloauges,2013,5,2
Moths,HL,752,Geometridae,Parectropis nigrosparsa,2014,6,1
Moths,HL,752,Geometridae,Parectropis nigrosparsa,2014,7,13
Moths,HL,752,Geometridae,Euphyia cineraria,2013,6,1
Moths,HL,752,Geometridae,Euphyia cineraria,2013,9,4
Moths,HL,752,Geometridae,Euphyia cineraria,2014,6,6
Moths,HL,752,Geometridae,Euphyia cineraria,2014,8,4
Moths,HL,752,Geometridae,Pseudepione magnaria,2013,10,1
Moths,HL,752,Geometridae,Scopula modicaria,2013,9,1
Moths,HL,752,Geometridae,Scopula modicaria,2014,7,1
Moths,HL,752,Sphingidae,Ambulyx japonica,2014,6,4
Moths,HL,752,Erebidae,Hadennia incongruens,2013,9,1
Moths,HL,752,Erebidae,Hadennia incongruens,2014,9,1
Moths,HL,752,Noctuidae,Gelastocera exusta,2013,9,2
Moths,HL,752,Notodontidae,Lophocosma atriplaga,2013,5,2
Moths,HL,752,Notodontidae,Lophocosma atriplaga,2014,6,1
Moths,HL,752,Geometridae,Synegia esther,2014,6,1
Moths,HL,752,Geometridae,Synegia esther,2014,8,5
Moths,HL,752,Noctuidae,Orthosia odiosa,2013,5,1
Moths,HL,752,Noctuidae,Craniophora pacifica,2013,9,1
Moths,HL,752,Erebidae,Mocis annetta,2014,6,1
Moths,HL,752,Geometridae,Ninodes watanabei,2014,6,1
Moths,HL,752,Noctuidae,Euplexia lucipara,2013,9,1
Moths,HL,752,Geometridae,Ourapteryx koreana,2013,10,3
Moths,HL,752,Geometridae,Cleora insolita,2013,5,3
Moths,HL,752,Geometridae,Cleora insolita,2014,5,8
Moths,HL,752,Notodontidae,Shaka atrovittatus,2013,6,2
Moths,HL,752,Notodontidae,Shaka atrovittatus,2014,6,9
Moths,HL,752,Notodontidae,Shaka atrovittatus,2014,8,3
Moths,HL,752,Noctuidae,Mythimna divergens,2013,7,1
Moths,HL,752,Noctuidae,Amphipoea ussuriensis,2013,8,1
Moths,HL,752,Noctuidae,Mythimna monticola,2014,8,5
Moths,HL,752,Limacodidae,Microleon longipalpis,2014,8,1
Moths,HL,752,Noctuidae,Lophoruza pulcherrima,2014,8,1
Moths,HL,752,Notodontidae,Dudusa sphigiformis,2013,8,1
Moths,HL,752,Notodontidae,Dudusa sphigiformis,2014,8,4
Moths,HL,752,Erebidae,Zanclognatha triplex,2014,6,3
Moths,HL,752,Geometridae,Pareclipsis gracilis,2013,9,5
Moths,HL,752,Geometridae,Pareclipsis gracilis,2013,10,5
Moths,HL,752,Geometridae,Pareclipsis gracilis,2014,5,2
Moths,HL,752,Geometridae,Pareclipsis gracilis,2014,9,2
Moths,HL,752,Notodontidae,Hexafrenum leucodera,2014,6,5
Moths,HL,752,Notodontidae,Hexafrenum leucodera,2014,7,1
Moths,HL,752,Geometridae,Odontopera arida,2013,6,1
Moths,HL,752,Geometridae,Odontopera arida,2014,5,1
Moths,HL,752,Erebidae,Mecodina nubiferalis,2014,8,1
Moths,HL,752,Geometridae,Scoupla nupta,2013,7,1
Moths,HL,752,Geometridae,Scopula epiorrhoe,2013,8,2
Moths,HL,752,Geometridae,Scopula epiorrhoe,2014,7,13
Moths,HL,752,Drepanidae,Deroca inconclusa,2014,6,2
Moths,HL,752,Drepanidae,Deroca inconclusa,2014,7,1
Moths,HL,752,Drepanidae,Deroca inconclusa,2014,8,2
Moths,HL,752,Drepanidae,Deroca inconclusa,2014,9,2
Moths,HL,752,Erebidae,Hydrillodes morosa,2013,6,5
Moths,HL,752,Erebidae,Hydrillodes morosa,2014,6,6
Moths,HL,752,Erebidae,Hydrillodes morosa,2014,7,1
Moths,HL,752,Erebidae,Hydrillodes morosa,2014,8,2
Moths,HL,752,Geometridae,Duliophyle agitata,2014,9,8
Moths,HL,752,Geometridae,Hypomecis punctinalis,2013,5,1
Moths,HL,752,Geometridae,Hypomecis punctinalis,2013,6,7
Moths,HL,752,Geometridae,Hypomecis punctinalis,2014,6,10
Moths,HL,752,Drepanidae,Oreta pulchripes,2013,9,1
Moths,HL,752,Geometridae,Culcula panterinaria,2014,6,1
Moths,HL,752,Geometridae,Culcula panterinaria,2014,7,2
Moths,HL,752,Geometridae,Amraica superans,2014,6,8
Moths,HL,752,Geometridae,Synegia limitatoides,2013,10,1
Moths,HL,752,Geometridae,Duliophyle majuscularia,2013,9,5
Moths,HL,752,Geometridae,Duliophyle majuscularia,2013,10,2
Moths,HL,752,Notodontidae,Cnethodonta grisescens,2014,7,2
Moths,HL,752,Limacodidae,Latoia sinica,2014,6,7
Moths,HL,752,Geometridae,Gandaritis whitelyi,2014,6,1
Moths,HL,752,Noctuidae,Peridroma saucia,2014,7,1
Moths,HL,752,Notodontidae,Quadricalcarifera cyanea,2014,5,2
Moths,HL,752,Noctuidae,Sugia erastroides,2013,6,2
Moths,HL,752,Noctuidae,Sugia erastroides,2014,6,4
Moths,HL,752,Geometridae,Menophra senilis,2013,7,3
Moths,HL,752,Geometridae,Menophra senilis,2013,9,6
Moths,HL,752,Geometridae,Menophra senilis,2014,9,5
Moths,HL,752,Geometridae,Myrteta angelica,2013,10,4
Moths,HL,752,Geometridae,Myrteta angelica,2014,9,7
Moths,HL,752,Noctuidae,Orthogonia sera,2014,8,1
Moths,HL,752,Erebidae,Euproctis piperita,2013,6,1
Moths,HL,752,Erebidae,Euproctis piperita,2014,6,2
Moths,HL,752,Sphingidae,Kentochrysalia streckeri,2013,8,3
Moths,HL,752,Noctuidae,Diarsia canescens,2013,5,1
Moths,HL,752,Noctuidae,Diarsia canescens,2014,10,1
Moths,HL,752,Notodontidae,Zaranga pannosa,2014,5,1
Moths,HL,752,Notodontidae,Zaranga pannosa,2014,6,3
Moths,HL,752,Notodontidae,Zaranga pannosa,2013,9,1
Moths,HL,752,Noctuidae,Triphaenopsis jezoensis,2014,8,3
Moths,HL,752,Erebidae,Lymantria mathura,2013,8,3
Moths,HL,752,Geometridae,Comibaena delicatior,2014,6,1
Moths,HL,752,Noctuidae,Diarsia pacifica,2013,6,1
Moths,HL,752,Geometridae,Phthonandria atrilineata,2014,6,3
Moths,HL,752,Geometridae,Phthonandria atrilineata,2014,7,1
Moths,HL,752,Geometridae,Phthonosema tendinosaria,2014,6,3
Moths,HL,752,Geometridae,Phthonosema tendinosaria 2014,,7,7
Moths,HL,752,Geometridae,Phthonosema tendinosaria 2014,,8,1
Moths,HL,752,Erebidae,Pangrapta perturbans 2014,,6,1
Moths,HL,752,Lasiocampidae,Kunugia undans 2013,,10,1
Moths,HL,752,Geometridae,Hypomecis roboraria 2014,,6,7
Moths,HL,752,Noctuidae,Atrachea nitens 2013,,7,2
Moths,HL,752,Geometridae,Xerodes rufescentaria 2014,,6,2
Moths,HL,752,Notodontidae,Notodonta basilinea 2014,,8,1
Moths,HL,752,Noctuidae,Koyaga falsa 2014,,7,2
Moths,HL,752,Drepanidae,Ditrigona virgo 2013,,6,2
Moths,HL,752,Drepanidae,Ditrigona virgo 2013,,9,2
Moths,HL,752,Drepanidae,Ditrigona virgo 2014,,6,2
Moths,HL,752,Noctuidae,Pseudoips faganus 2013,,8,2
Moths,HL,752,Erebidae,Eilema cribrata 2013,,6,1
Moths,HL,752,Erebidae,Eilema cribrata 2014,,6,1
Moths,HL,752,Geometridae,Nothomiza aureolaria 2013,,9,1
Moths,HL,752,Erebidae,Agylla gigantea 2013,,7,3
Moths,HL,752,Geometridae,Heterophleps confusa 2014,,6,1
Moths,HL,752,Noctuidae,Clavipalpula aurariae 2013,,6,1
Moths,HL,752,Noctuidae,Clavipalpula aurariae 2014,,5,1
Moths,HL,752,Geometridae,Tyloptera bella 2013,,6,1
Moths,HL,752,Noctuidae,Cerastis pallescens 2014,,5,1
Moths,HL,752,Notodontidae,Quadricalcarifera subgeneris 2013,,6,1
Moths,HL,752,Notodontidae,Quadricalcarifera subgeneris 2013,,8,3
Moths,HL,752,Notodontidae,Quadricalcarifera subgeneris2014,,5,2
Moths,HL,752,Notodontidae,Quadricalcarifera subgeneris2014,,6,21
Moths,HL,752,Notodontidae,Quadricalcarifera subgeneris2014,,7,2
Moths,HL,752,Geometridae,Idaea biselata 2014,,9,2
Moths,HL,752,Geometridae,Sibatania mactata 2014,,7,1
Moths,HL,752,Noctuidae,Acronicta major 2014,,6,1
Moths,HL,752,Noctuidae,Acronicta major 2014,,8,1
Moths,HL,752,Erebidae,Paracolax fascialis 2013,,6,1
Moths,HL,752,Erebidae,Paracolax fascialis 2013,,9,1
Moths,HL,752,Erebidae,Paracolax fascialis,2014,6,3
Moths,HL,752,Erebidae,Paracolax fascialis,2014,7,1
Moths,HL,752,Erebidae,Adris tyrannus,2014,8,1
Moths,HL,752,Saturniidae,Caligula jonasii,2013,10,2
Moths,HL,752,Saturniidae,Caligula jonasii,2014,9,1
Moths,HL,752,Saturniidae,Caligula jonasii,2014,10,4
Moths,HL,752,Geometridae,Hydrelia adesma,2014,7,1
Moths,HL,752,Noctuidae,Hermonassa cecilia,2014,6,9
Moths,HL,752,Drepanidae,Parapsestis argenteopicta,2014,7,2
Moths,HL,752,Geometridae,Xerodes albonotaria,2013,6,1
Moths,HL,752,Geometridae,Ourapteryx subpunctaria,2014,7,1
Moths,HL,752,Noctuidae,Cosmia achatina,2013,7,1
Moths,HL,752,Noctuidae,Cosmia achatina,2014,7,2
Moths,HL,752,Sphingidae,Marumba spectabilis,2013,8,1
Moths,HL,752,Sphingidae,Marumba spectabilis,2014,8,7
Moths,HL,752,Erebidae,Parasiccia altaica,2014,7,2
Moths,HL,752,Erebidae,Parasiccia altaica,2014,9,2
Moths,HL,752,Noctuidae,Euromoia subpulchra,2013,7,2
Moths,HL,752,Geometridae,Ectropis excellens,2013,6,3
Moths,HL,752,Geometridae,Ectropis excellens,2013,7,1
Moths,HL,752,Geometridae,Ectropis excellens,2014,5,1
Moths,HL,752,Geometridae,Ectropis excellens,2014,6,22
Moths,HL,752,Geometridae,Idaea auricruda,2013,7,1
Moths,HL,752,Erebidae,Paracolax trilinealis,2014,7,1
Moths,HL,752,Erebidae,Spilarctia seriatopunctata,2013,6,2
Moths,HL,752,Erebidae,Spilarctia seriatopunctata,2014,6,10
Moths,HL,752,Noctuidae,Craniophora ligustri,2013,5,1
Moths,HL,752,Drepanidae,Agnidra scabiosa,2013,9,2
Moths,HL,752,Geometridae,Racotis petrosa,2014,7,1
Moths,HL,752,Drepanidae,Hypsomadius insignis,2013,9,1
Moths,HL,752,Drepanidae,Hypsomadius insignis,2013,10,1
Moths,HL,752,Noctuidae,Amphipoea burrowsi,2014,8,1
Moths,HL,752,Geometridae,Problepsis eucircota,2014,7,1
Moths,HL,752,Noctuidae,Olivenebula oberthueri,2013,9,1
Moths,HL,752,Geometridae,Descoreba simplex,2014,5,4
Moths,HL,752,Noctuidae,Pseudoips sylpha,2014,6,3
Moths,HL,752,Noctuidae,Craniophora praeclara,2014,5,4
Moths,HL,752,Geometridae,Alcis angulifera,2013,6,6
Moths,HL,752,Geometridae,Alcis angulifera,2013,10,11
Moths,HL,752,Geometridae,Alcis angulifera,2014,6,17
Moths,HL,752,Geometridae,Alcis angulifera,2014,10,2
Moths,HL,752,Erebidae,Daddala lucilla,2013,7,1
Moths,HL,752,Geometridae,Synegia hadassa,2014,8,3
Moths,HL,752,Noctuidae,Euplexia koreaeplexia,2014,6,1
Moths,HL,752,Geometridae,Timandra comptaria,2014,6,1
Moths,HL,752,Erebidae,Spilosoma album,2014,6,1
Moths,HL,752,Erebidae,Miltochrista striata,2013,6,6
Moths,HL,752,Erebidae,Miltochrista striata,2014,6,2
Moths,HL,752,Erebidae,Miltochrista striata,2014,7,4
Moths,HL,752,Geometridae,Hysterura declinans,2013,10,1
Moths,HL,752,Geometridae,Lomographa temerata,2013,7,1
Moths,HL,752,Geometridae,Lomographa temerata,2013,8,1
Moths,HL,752,Geometridae,Lomographa temerata,2014,5,1
Moths,HL,752,Geometridae,Lomographa temerata,2014,6,2
Moths,HL,752,Geometridae,Lomographa temerata,2014,7,1
Moths,HL,752,Geometridae,Evecliptopera decurrens,2014,9,1
Moths,HL,752,Geometridae,Xandrames dholaria,2014,6,9
Moths,HL,752,Geometridae,Xandrames dholaria,2014,8,1
Moths,HL,752,Noctuidae,Athetis albisignata,2014,7,19
Moths,HL,752,Geometridae,Ourapteryx maculicaudaria,2014,7,2
Moths,HL,752,Noctuidae,Amphipyra tripartita,2013,10,1
Moths,HL,752,Geometridae,Geometra dieckmanni,2014,6,2
Moths,HL,645,Epiplemidae,Dysaethria cretacea,2013,9,3
Moths,HL,645,Epiplemidae,Oroplema oyamana,2013,10,2
Moths,HL,645,Epiplemidae,Oroplema oyamana,2014,10,2
Moths,HL,645,Geometridae,Orthocabera tinagmaria,2013,7,1
Moths,HL,645,Geometridae,Parectropis nigrosparsa,2013,7,1
Moths,HL,645,Geometridae,Parectropis nigrosparsa,2014,7,27
Moths,HL,645,Geometridae,Euphyia cineraria,2013,8,2
Moths,HL,645,Geometridae,Euphyia cineraria,2014,6,1
Moths,HL,645,Geometridae,Euphyia cineraria,2014,8,1
Moths,HL,645,Erebidae,Eilema japonica,2014,6,1
Moths,HL,645,Geometridae,Scopula modicaria,2013,9,1
Moths,HL,645,Geometridae,Scopula modicaria,2014,7,1
Moths,HL,645,Geometridae,Scopula modicaria,2014,8,1
Moths,HL,645,Sphingidae,Ambulyx japonica,2013,5,1
Moths,HL,645,Sphingidae,Ambulyx japonica,2013,6,3
Moths,HL,645,Sphingidae,Ambulyx japonica,2014,6,6
Moths,HL,645,Sphingidae,Ambulyx japonica,2014,7,2
Moths,HL,645,Geometridae,Orthonama obstipata,2014,5,1
Moths,HL,645,Geometridae,Agathia carissima,2013,9,2
Moths,HL,645,Notodontidae,Lophocosma atriplaga,2013,5,1
Moths,HL,645,Notodontidae,Lophocosma atriplaga,2014,6,1
Moths,HL,645,Geometridae,Synegia esther,2013,7,1
Moths,HL,645,Notodontidae,Semidonta biloba,2013,6,1
Moths,HL,645,Notodontidae,Semidonta biloba,2013,7,1
Moths,HL,645,Notodontidae,Peridea gigantea,2014,7,1
Moths,HL,645,Erebidae,Nodaria tristis,2013,6,1
Moths,HL,645,Geometridae,Ourapteryx koreana,2013,7,2
Moths,HL,645,Geometridae,Ourapteryx koreana,2013,10,3
Moths,HL,645,Geometridae,Cleora insolita,2014,5,3
Moths,HL,645,Notodontidae,Peridea lativitta,2014,7,1
Moths,HL,645,Notodontidae,Shaka atrovittatus,2013,6,3
Moths,HL,645,Notodontidae,Shaka atrovittatus,2013,8,8
Moths,HL,645,Notodontidae,Shaka atrovittatus,2014,6,2
Moths,HL,645,Notodontidae,Shaka atrovittatus,2014,7,1
Moths,HL,645,Notodontidae,Shaka atrovittatus,2014,8,2
Moths,HL,645,Noctuidae,Amphipoea ussuriensis,2013,8,1
Moths,HL,645,Noctuidae,Mythimna monticola,2014,7,1
Moths,HL,645,Noctuidae,Mythimna monticola,2014,8,3
Moths,HL,645,Erebidae,Herminia grisealis,2014,7,1
Moths,HL,645,Geometridae,Aethalura nanaria,2014,6,7
Moths,HL,645,Erebidae,Hipoepa fractalis,2014,7,1
Moths,HL,645,Notodontidae,Dudusa sphigiformis,2013,8,9
Moths,HL,645,Notodontidae,Dudusa sphigiformis,2014,8,3
Moths,HL,645,Erebidae,Zanclognatha triplex,2013,9,1
Moths,HL,645,Erebidae,Zanclognatha triplex,2014,6,3
Moths,HL,645,Geometridae,Pareclipsis gracilis,2013,7,1
Moths,HL,645,Geometridae,Pareclipsis gracilis,2013,9,4
Moths,HL,645,Geometridae,Pareclipsis gracilis,2014,8,2
Moths,HL,645,Notodontidae,Hexafrenum leucodera,2013,7,1
Moths,HL,645,Notodontidae,Hexafrenum leucodera,2014,6,4
Moths,HL,645,Geometridae,Odontopera arida,2013,5,1
Moths,HL,645,Geometridae,Odontopera arida,2014,5,1
Moths,HL,645,Noctuidae,Iscadia uniformis,2013,7,1
Moths,HL,645,Noctuidae,Iscadia uniformis,2013,8,2
Moths,HL,645,Noctuidae,Iscadia uniformis,2013,10,1
Moths,HL,645,Noctuidae,Iscadia uniformis,2014,7,1
Moths,HL,645,Geometridae,Scoupla nupta,2014,6,1
Moths,HL,645,Drepanidae,Deroca inconclusa,2013,8,1
Moths,HL,645,Drepanidae,Deroca inconclusa,2014,6,6
Moths,HL,645,Erebidae,Hydrillodes morosa,2013,6,1
Moths,HL,645,Erebidae,Hydrillodes morosa,2014,5,1
Moths,HL,645,Erebidae,Hydrillodes morosa,2014,6,3
Moths,HL,645,Erebidae,Hydrillodes morosa,2014,8,1
Moths,HL,645,Geometridae,Duliophyle agitata,2014,9,8
Moths,HL,645,Drepanidae,Tethea ampliata,2013,7,1
Moths,HL,645,Geometridae,Hypomecis punctinalis,2013,5,6
Moths,HL,645,Geometridae,Hypomecis punctinalis,2013,8,2
Moths,HL,645,Geometridae,Hypomecis punctinalis,2014,5,2
Moths,HL,645,Geometridae,Hypomecis punctinalis,2014,6,4
Moths,HL,645,Geometridae,Comibaena amoenaria,2014,6,1
Moths,HL,645,Geometridae,Comibaena amoenaria,2014,8,1
Moths,HL,645,Geometridae,Culcula panterinaria,2014,6,10
Moths,HL,645,Geometridae,Culcula panterinaria,2014,7,2
Moths,HL,645,Geometridae,Amraica superans,2014,6,1
Moths,HL,645,Geometridae,Duliophyle majuscularia,2013,8,1
Moths,HL,645,Geometridae,Duliophyle majuscularia,2013,9,12
Moths,HL,645,Noctuidae,Sugia idiostygia,2013,7,4
Moths,HL,645,Lasiocampidae,Paralebeda plagiata,2013,8,4
Moths,HL,645,Lasiocampidae,Paralebeda plagiata,2014,8,1
Moths,HL,645,Noctuidae,Amphipyra acheron,2013,10,1
Moths,HL,645,Notodontidae,Cnethodonta grisescens,2013,7,2
Moths,HL,645,Notodontidae,Cnethodonta grisescens,2013,8,1
Moths,HL,645,Notodontidae,Cnethodonta grisescens,2013,9,5
Moths,HL,645,Notodontidae,Cnethodonta grisescens,2014,7,3
Moths,HL,645,Limacodidae,Latoia sinica,2013,8,1
Moths,HL,645,Limacodidae,Latoia sinica,2014,6,7
Moths,HL,645,Noctuidae,Triphaenopsis cinerescens,2014,9,1
Moths,HL,645,Notodontidae,Quadricalcarifera cyanea,2013,6,1
Moths,HL,645,Notodontidae,Quadricalcarifera cyanea,2013,9,2
Moths,HL,645,Notodontidae,Quadricalcarifera cyanea,2014,5,1
Moths,HL,645,Noctuidae,Sugia erastroides,2013,6,6
Moths,HL,645,Noctuidae,Sugia erastroides,2014,6,39
Moths,HL,645,Erebidae,Lymantria dispar,2013,7,1
Moths,HL,645,Geometridae,Menophra senilis,2013,5,1
Moths,HL,645,Geometridae,Menophra senilis,2013,7,6
Moths,HL,645,Geometridae,Menophra senilis,2013,9,3
Moths,HL,645,Geometridae,Menophra senilis,2014,7,2
Moths,HL,645,Geometridae,Menophra senilis,2014,8,1
Moths,HL,645,Geometridae,Menophra senilis,2014,9,1
Moths,HL,645,Geometridae,Myrteta angelica,2013,10,3
Moths,HL,645,Geometridae,Myrteta angelica,2014,9,2
Moths,HL,645,Geometridae,Myrteta angelica,2014,10,1
